areaCode,doro,gu,dong
13509.0,거북골로_C,서대문구,남가좌2동
13510.0,신촌로_E,서대문구,신촌동
13512.0,조원로_B,관악구,신사동
13513.0,동일로217가길,노원구,상계6.7동
13514.0,영동대로112길,강남구,삼성1동
13515.0,효령로_C,서초구,서초2동
13516.0,등촌로_G,강서구,등촌2동
13517.0,목동동로8길,양천구,신정2동
13518.0,학동로88길,강남구,삼성1동
13519.0,국사봉1길,동작구,상도3동
13520.0,덕릉로_F,도봉구,창2동
13523.0,뚝섬로_C,광진구,자양3동
13525.0,사당로16길_B,동작구,사당4동
13527.0,동호로_B,중구,다산동
13528.0,도봉로169나길,도봉구,도봉1동
13531.0,올림픽로12길,송파구,잠실본동
13532.0,마천로51길,송파구,마천2동
13533.0,종암로22길,성북구,종암동
13534.0,까치산로_B,강서구,화곡6동
13537.0,오목로_G,양천구,신정4동
13538.0,봉은사로_C,강남구,논현2동
13539.0,동남로_F,송파구,문정1동
13540.0,논현로5길,서초구,양재2동
13541.0,긴고랑로11길,광진구,중곡1동
13542.0,상일로_D,강동구,상일동
13543.0,한글비석로24길,노원구,상계5동
13544.0,고척로30길,구로구,개봉1동
13545.0,성수일로,성동구,성수1가2동
13547.0,고척로_C,구로구,고척2동
13550.0,사가정로25길,동대문구,장안2동
13551.0,영화사로_D,광진구,중곡4동
13552.0,회나무로,용산구,이태원2동
13554.0,휘경로3길,동대문구,이문1동
13557.0,면목로48길,중랑구,면목3.8동
13562.0,고산자로34길,동대문구,용신동
13563.0,한글비석로52길,노원구,상계5동
13567.0,녹사평대로54길,용산구,이태원2동
13568.0,천중로,강동구,길동
13572.0,논현로18길,강남구,개포4동
13573.0,송이로_C,송파구,가락본동
13577.0,개운사길_B,성북구,안암동
13578.0,아차산로_H,광진구,자양1동
13587.0,논현로_E,강남구,논현1동
13588.0,신월로_G,양천구,신월6동
13589.0,백제고분로_K,송파구,송파1동
13591.0,새말로_B,송파구,장지동
13594.0,강서로_M,강서구,화곡3동
13596.0,백제고분로45길,송파구,송파1동
13597.0,망우로_J,동대문구,휘경2동
13598.0,역삼로_F,강남구,대치2동
13601.0,통일로_M,서대문구,홍제2동
13602.0,언주로97길,강남구,역삼1동
13603.0,보문로38길,성북구,삼선동
13604.0,도곡로77길,강남구,대치4동
13606.0,통일로_N,은평구,불광2동
13608.0,양재천로19길,서초구,양재1동
13609.0,돌곶이로,성북구,석관동
13610.0,다산로_G,중구,청구동
13611.0,방배로_F,서초구,방배3동
13613.0,백제고분로42길,송파구,송파1동
13614.0,백제고분로39길,송파구,석촌동
13615.0,응암로13길_B,은평구,응암3동
13616.0,삼선교로10길,성북구,삼선동
13617.0,능동로13길,광진구,화양동
13619.0,방학로_B,도봉구,방학2동
13620.0,동일로22길,광진구,화양동
13622.0,서초중앙로22길,서초구,서초1동
13624.0,곰달래로13길_C,양천구,신월1동
13626.0,구로중앙로_B,구로구,구로2동
13629.0,중앙로_F,양천구,신정3동
13634.0,신원로3가길,관악구,신원동
13635.0,곰달래로_E,강서구,화곡4동
13638.0,백제고분로48길,송파구,방이2동
13639.0,백제고분로_L,송파구,방이2동
13640.0,백제고분로50길,송파구,방이2동
13641.0,가락로_F,송파구,방이1동
13642.0,양재대로71길,송파구,방이1동
13643.0,위례성대로18길,송파구,방이1동
13644.0,천호대로83길,동대문구,장안1동
13645.0,장한로_D,동대문구,장안1동
13646.0,답십리로66길,동대문구,장안1동
13647.0,답십리로_C,동대문구,장안1동
13648.0,장한로21길,동대문구,장안1동
13649.0,율곡로14길,종로구,종로5.6가동
13650.0,통일로69길,은평구,대조동
13651.0,도봉로152가길,도봉구,도봉2동
