,areaCode,serviceCode,sales,percentage,class
5977,12819.0,CS100005,6402236.426691272,0.6843235504652827,not_good
5978,13056.0,CS100005,16131057.159532994,0.2737294201861131,good
5979,13058.0,CS100005,20360356.685905058,0.18797423049391554,good
5980,13059.0,CS100005,11577901.376429157,0.42390837508947743,not_good
5981,13061.0,CS100005,11450857.10096794,0.4297780959198282,not_good
5982,13062.0,CS100005,1097981.7472527837,0.9707945597709378,bad
5983,13063.0,CS100005,17200831.67101958,0.24753042233357195,not_good
5984,12650.0,CS100005,9958191.680136451,0.49763779527559054,good
5985,12653.0,CS100005,6476777.626329565,0.6793128131710809,not_good
5986,13519.0,CS100005,4405932.437810361,0.803579098067287,not_good
5987,13520.0,CS100005,3502035.365881812,0.8556907659269865,not_good
5988,13523.0,CS100005,1872435.4207404198,0.9385826771653544,bad
5989,13525.0,CS100005,16211367.503754659,0.2714387974230494,good
5990,13527.0,CS100005,4722725.538918054,0.7874015748031497,not_good
5991,13528.0,CS100005,7328376.577785459,0.6296349319971367,not_good
5992,13531.0,CS100005,5684711.232393396,0.7287043664996421,not_good
5993,13532.0,CS100005,686020.4375639049,0.9838224767358625,bad
5994,12958.0,CS100005,10687920.185619446,0.462992125984252,not_good
5995,12959.0,CS100005,5450675.719332472,0.7427344309234073,bad
5996,12960.0,CS100005,3140271.6381850885,0.8747315676449535,not_good
5997,12964.0,CS100005,2424781.052582645,0.9118110236220472,bad
5998,12806.0,CS100005,12726314.395298328,0.37967072297780957,good
5999,12808.0,CS100005,6561946.594321377,0.6735862562634216,not_good
6000,12809.0,CS100005,4414073.403194345,0.8030064423765211,not_good
6001,13039.0,CS100005,25656107.41377428,0.12670007158196134,very_good
6002,13041.0,CS100005,12346205.141832223,0.3939871152469578,good
6003,13042.0,CS100005,2547010.9818708757,0.9053686471009306,not_good
6004,13044.0,CS100005,16439764.575919883,0.26528274874731567,good
6005,13045.0,CS100005,15630229.716376938,0.28690050107372944,good
6006,13046.0,CS100005,1505549.7290757664,0.9536148890479599,bad
6007,13048.0,CS100005,7166537.302017377,0.6403722261989978,not_good
6008,13049.0,CS100005,25872754.262412395,0.12426628489620616,good
6009,13050.0,CS100005,13340127.167260304,0.35876879026485325,good
6010,13052.0,CS100005,17593894.98038454,0.23822476735862563,good
6011,13053.0,CS100005,7969400.778961796,0.5987115246957767,not_good
6012,13290.0,CS100005,1125806.6414033533,0.9695060844667144,bad
6013,13291.0,CS100005,8793487.247432271,0.5497494631352899,not_good
6014,13294.0,CS100005,4525306.666310528,0.7971367215461703,not_good
6015,13296.0,CS100005,2925744.68043076,0.8864710093056549,not_good
6016,13300.0,CS100005,3888567.619502669,0.8347888332140301,not_good
6017,13301.0,CS100005,298658.4995561857,0.9944166070150322,bad
6018,13534.0,CS100005,3783123.1071865843,0.8400858983536149,not_good
6019,13537.0,CS100005,16042160.711850094,0.2761632068718683,not_good
6020,13538.0,CS100005,7821612.123838275,0.608017179670723,not_good
6021,13491.0,CS100005,9557698.651149541,0.5146743020758768,not_good
6022,13065.0,CS100005,8240493.37997028,0.5818181818181818,good
6023,13067.0,CS100005,5253747.092482173,0.7550465282748747,not_good
6024,13303.0,CS100005,9008431.831582839,0.5397279885468862,good
6025,13305.0,CS100005,6353078.582360074,0.6876163206871868,not_good
6026,13307.0,CS100005,6995692.962596024,0.650823192555476,not_good
6027,13308.0,CS100005,5931847.917318337,0.7145311381531854,not_good
6028,13309.0,CS100005,4272032.393216645,0.8110236220472441,not_good
6029,13115.0,CS100005,6123855.1762781795,0.7043664996420902,not_good
6030,13116.0,CS100005,3225303.0480194935,0.8700071581961346,not_good
6031,13118.0,CS100005,10238061.724022597,0.48489620615604867,good
6032,13119.0,CS100005,10115428.579445913,0.49047959914101646,not_good
6033,13120.0,CS100005,1849826.4026252187,0.9397279885468862,bad
6034,13121.0,CS100005,13477503.108425507,0.3536148890479599,good
6035,13123.0,CS100005,2732212.1881147423,0.8953471725125268,bad
6036,13125.0,CS100005,5544632.601733778,0.7360057265569077,not_good
6037,13128.0,CS100005,4443179.619270829,0.8008589835361489,not_good
6038,13465.0,CS100005,3142641.6809151783,0.874588403722262,bad
6039,13466.0,CS100005,4747117.957989568,0.7858267716535433,not_good
6040,13367.0,CS100005,6883699.858486326,0.6568360773085182,not_good
6041,13414.0,CS100005,4391918.85064908,0.8045812455261274,not_good
6042,13415.0,CS100005,4034435.320748619,0.8259126700071582,not_good
6043,13418.0,CS100005,15945859.478711432,0.2790264853256979,good
6044,13419.0,CS100005,2501895.9944898393,0.9070866141732283,bad
6045,13310.0,CS100005,6115259.264104818,0.7047959914101647,not_good
6046,13311.0,CS100005,15643141.915833956,0.28618468146027204,not_good
6047,13314.0,CS100005,8480031.820895916,0.5672154617036507,not_good
6048,13315.0,CS100005,7949106.911469441,0.6,good
6049,13467.0,CS100005,8067833.442543785,0.592841803865426,not_good
6050,13096.0,CS100005,23800662.535352983,0.14473872584108805,good
6051,13616.0,CS100005,6226778.358157488,0.6966356478167501,not_good
6052,13644.0,CS100005,3203855.679926482,0.8717251252684324,not_good
6053,13645.0,CS100005,7231480.584586078,0.6357909806728704,not_good
6054,13646.0,CS100005,3096689.567745569,0.8765926986399427,bad
6055,13647.0,CS100005,1314818.6165351644,0.9620615604867573,bad
6056,13648.0,CS100005,4724164.687622028,0.7871152469577667,not_good
6057,13649.0,CS100005,2833250.504293961,0.8904795991410165,not_good
6058,13650.0,CS100005,8093988.802189921,0.5918396564065855,good
6059,12824.0,CS100005,2132574.6821121057,0.9269863994273443,bad
6060,12825.0,CS100005,16494664.8168583,0.2637079455977094,good
6061,12739.0,CS100005,25374378.826282144,0.12927702219040801,very_good
6062,12742.0,CS100005,4811427.942181987,0.7813886900501074,not_good
6063,12743.0,CS100005,966513.0540153211,0.9753758052970651,bad
6064,12744.0,CS100005,3410789.4198321654,0.8601288475304223,not_good
6065,13069.0,CS100005,10216630.76473869,0.4860415175375805,not_good
